FilmID,Title,RunTimeMinutes,Genre
1217,Now You See Me,115,Mystery
1218,Clash of the Titans,106,Adventure
1219,Clash of the Titans,118,Adventure
1220,The Transporter,92,Action
1221,Transporter 2,88,Action
1222,Zu Warriors from the Magic Mountain,98,Adventure
1223,A Better Tomorrow,95,Action
1224,A Better Tomorrow II,104,Action
1225,The Master,92,Martial Arts
1226,A Better Tomorrow III,145,Action
1227,The Killer,110,Action
1228,Seven Swords,153,Martial Arts
1229,Detective Dee and the Mystery of the Phantom Flame,122,Adventure
1230,Flying Swords of Dragon Gate,125,Martial Arts
1231,Young Detective Dee: Rise of the Sea Dragon,133,Adventure
1232,Hard Boiled,128,Action
1233,Hard Target,97,Action
1234,Broken Arrow,108,Action
1235,Face/Off,139,Action
1236,Paycheck,119,Science Fiction
1237,Red Cliff,146,War
1238,Red Cliff II,142,War
1239,The Raid,101,Martial Arts
